combustion	(noun) the process of burning
component	(noun) a part that combines with other parts to form something
convey	(verb) to express a thought, feeling, or idea so that is understood by other people
discretely	(adv) separately, distinctly
nucleus	(noun) a central or essential part around which other parts are gathered; a core
permeate	(verb) to spread through something and be present in every part of it
rotate	(verb) to turn or cause something to turn in a circle, specially around a fixed point
solar	(adj) of or ffrom the sun, or using the energy from the sun to produce electric power
source	(noun) the place something comes from or starts at, or the cause of something // someone or something that supplies information
trigger	(verb) to cause something to start 
